Equipment Name,Type,Flowrate,Pressure,Temperature
EQ-001,Reactor,212.4,682.6,218.4
EQ-002,Pump,181.8,681.2,295.4
EQ-003,Reactor,146.3,423.3,289.0
EQ-004,Heat Exchanger,312.2,536.5,244.3
EQ-005,Compressor,397.6,677.9,216.6
EQ-006,Reactor,237.4,457.0,269.2
EQ-007,Heat Exchanger,229.8,691.7,124.9
EQ-008,Reactor,338.7,301.1,184.4
EQ-009,Reactor,237.6,381.8,174.1
EQ-010,Heat Exchanger,137.6,641.8,137.8
EQ-011,Compressor,200.4,476.5,115.6
EQ-012,Heat Exchanger,213.0,303.4,246.4
EQ-013,Heat Exchanger,268.9,535.2,120.9
EQ-014,Compressor,178.7,601.6,145.8
EQ-015,Pump,409.2,310.1,246.0
EQ-016,Tank,136.4,519.0,272.0
EQ-017,Reactor,101.1,236.2,173.7
EQ-018,Heat Exchanger,212.5,598.0,186.1
EQ-019,Heat Exchanger,171.7,539.5,264.5
EQ-020,Tank,175.1,594.0,260.9
EQ-021,Reactor,419.8,443.6,257.7
EQ-022,Pump,282.8,322.5,285.4
EQ-023,Pump,259.7,635.5,124.5
EQ-024,Compressor,110.4,558.9,128.9
EQ-025,Tank,324.3,615.5,163.2
EQ-026,Tank,185.3,656.7,153.7
EQ-027,Pump,443.7,467.8,128.1
EQ-028,Reactor,262.2,588.9,115.0
EQ-029,Reactor,313.2,524.5,285.2
EQ-030,Tank,231.7,418.2,280.1
EQ-031,Pump,139.5,498.0,232.9
EQ-032,Heat Exchanger,396.0,222.2,164.7
EQ-033,Reactor,208.4,494.6,170.6
EQ-034,Pump,347.2,320.4,242.9
EQ-035,Pump,417.1,579.4,151.9
EQ-036,Tank,250.2,683.5,101.9
EQ-037,Tank,272.6,285.9,156.1
EQ-038,Reactor,400.1,544.7,257.4
EQ-039,Compressor,229.1,257.1,242.3
EQ-040,Heat Exchanger,255.4,538.0,159.1
EQ-041,Heat Exchanger,447.6,489.5,287.4
EQ-042,Tank,268.7,522.9,105.6
EQ-043,Compressor,145.4,609.2,272.3
EQ-044,Compressor,199.3,669.8,258.2
EQ-045,Tank,400.9,571.2,130.5
EQ-046,Reactor,402.4,315.1,286.4
EQ-047,Pump,432.2,552.6,101.6
EQ-048,Tank,204.0,345.2,140.7
EQ-049,Tank,317.7,515.4,271.9
EQ-050,Heat Exchanger,332.5,648.4,178.5
