Equipment Name,Type,Flowrate,Pressure,Temperature
CRIT-001,Reactor,597.4,1170.8,410.2
CRIT-002,Reactor,662.5,967.4,422.1
CRIT-003,Reactor,628.9,1177.4,408.5
CRIT-004,Reactor,587.6,998.5,418.0
CRIT-005,Compressor,734.4,924.7,435.5
CRIT-006,Reactor,737.1,1024.7,428.2
CRIT-007,Compressor,659.9,1060.1,435.7
CRIT-008,Compressor,741.3,1161.7,429.8
CRIT-009,Reactor,643.6,1158.6,442.0
CRIT-010,Reactor,723.7,1118.7,397.0
CRIT-011,Compressor,707.5,1080.5,430.0
CRIT-012,Compressor,698.4,967.9,391.2
CRIT-013,Compressor,652.4,978.6,410.1
CRIT-014,Compressor,699.5,909.0,407.7
CRIT-015,Compressor,604.9,947.4,385.5
CRIT-016,Compressor,620.9,936.0,402.6
CRIT-017,Reactor,646.1,1163.1,423.7
CRIT-018,Compressor,592.2,1033.9,396.2
CRIT-019,Reactor,595.6,971.9,436.0
CRIT-020,Compressor,725.6,1161.1,388.6
CRIT-021,Compressor,576.7,979.7,447.8
CRIT-022,Reactor,649.1,951.0,423.4
CRIT-023,Reactor,581.6,1087.2,432.1
CRIT-024,Reactor,672.8,992.8,428.9
CRIT-025,Compressor,702.4,939.5,394.7
CRIT-026,Reactor,727.9,1086.7,449.6
CRIT-027,Compressor,624.4,1139.9,400.1
CRIT-028,Reactor,572.0,946.8,431.7
CRIT-029,Compressor,647.2,1020.4,433.5
CRIT-030,Reactor,655.6,1011.6,397.7
