Equipment Name,Type,Flowrate,Pressure,Temperature
HE-001,Heat Exchanger,244.2,252.8,100.0
HE-002,Heat Exchanger,293.1,247.1,102.0
HE-003,Heat Exchanger,215.4,265.0,104.0
HE-004,Heat Exchanger,267.6,256.8,106.1
HE-005,Heat Exchanger,251.7,257.1,108.1
HE-006,Heat Exchanger,292.4,280.1,110.1
HE-007,Heat Exchanger,279.0,289.2,112.1
HE-008,Heat Exchanger,206.7,283.4,114.1
HE-009,Heat Exchanger,288.3,303.8,116.2
HE-010,Heat Exchanger,279.5,306.3,118.2
HE-011,Heat Exchanger,229.8,300.8,120.2
HE-012,Heat Exchanger,263.2,313.1,122.2
HE-013,Heat Exchanger,231.6,330.2,124.2
HE-014,Heat Exchanger,263.5,318.0,126.3
HE-015,Heat Exchanger,245.8,327.7,128.3
HE-016,Heat Exchanger,247.0,348.6,130.3
HE-017,Heat Exchanger,213.0,308.4,132.3
HE-018,Heat Exchanger,208.0,354.7,134.3
HE-019,Heat Exchanger,239.6,338.9,136.4
HE-020,Heat Exchanger,204.6,351.8,138.4
HE-021,Heat Exchanger,261.0,363.2,140.4
HE-022,Heat Exchanger,287.5,375.3,142.4
HE-023,Heat Exchanger,229.3,354.7,144.4
HE-024,Heat Exchanger,272.3,363.3,146.5
HE-025,Heat Exchanger,204.8,388.9,148.5
HE-026,Heat Exchanger,297.3,387.6,150.5
HE-027,Heat Exchanger,288.5,382.3,152.5
HE-028,Heat Exchanger,214.5,375.1,154.5
HE-029,Heat Exchanger,262.6,400.8,156.6
HE-030,Heat Exchanger,219.1,393.6,158.6
HE-031,Heat Exchanger,283.9,412.6,160.6
HE-032,Heat Exchanger,281.1,397.6,162.6
HE-033,Heat Exchanger,241.9,424.1,164.6
HE-034,Heat Exchanger,247.0,417.1,166.7
HE-035,Heat Exchanger,289.9,436.5,168.7
HE-036,Heat Exchanger,202.3,431.5,170.7
HE-037,Heat Exchanger,226.6,437.5,172.7
HE-038,Heat Exchanger,274.0,438.1,174.7
HE-039,Heat Exchanger,234.9,440.5,176.8
HE-040,Heat Exchanger,272.8,451.7,178.8
HE-041,Heat Exchanger,280.5,443.5,180.8
HE-042,Heat Exchanger,271.6,449.2,182.8
HE-043,Heat Exchanger,275.1,457.9,184.8
HE-044,Heat Exchanger,262.3,467.0,186.9
HE-045,Heat Exchanger,287.6,481.2,188.9
HE-046,Heat Exchanger,278.6,467.8,190.9
HE-047,Heat Exchanger,210.3,483.1,192.9
HE-048,Heat Exchanger,294.5,478.0,194.9
HE-049,Heat Exchanger,218.5,495.2,197.0
HE-050,Heat Exchanger,279.2,497.5,199.0
HE-051,Heat Exchanger,293.5,499.9,201.0
HE-052,Heat Exchanger,223.7,502.1,203.0
HE-053,Heat Exchanger,256.0,513.8,205.1
HE-054,Heat Exchanger,289.4,519.0,207.1
HE-055,Heat Exchanger,264.7,520.0,209.1
HE-056,Heat Exchanger,297.4,512.3,211.1
HE-057,Heat Exchanger,278.4,540.1,213.1
HE-058,Heat Exchanger,214.3,521.3,215.2
HE-059,Heat Exchanger,288.3,536.8,217.2
HE-060,Heat Exchanger,270.5,555.3,219.2
HE-061,Heat Exchanger,235.2,552.5,221.2
HE-062,Heat Exchanger,243.3,561.8,223.2
HE-063,Heat Exchanger,249.5,562.5,225.3
HE-064,Heat Exchanger,266.3,547.6,227.3
HE-065,Heat Exchanger,285.2,569.6,229.3
HE-066,Heat Exchanger,237.7,562.4,231.3
HE-067,Heat Exchanger,258.4,585.0,233.3
HE-068,Heat Exchanger,281.8,588.0,235.4
HE-069,Heat Exchanger,257.7,589.7,237.4
HE-070,Heat Exchanger,209.1,602.3,239.4
HE-071,Heat Exchanger,268.1,627.0,241.4
HE-072,Heat Exchanger,257.1,619.8,243.4
HE-073,Heat Exchanger,260.9,603.1,245.5
HE-074,Heat Exchanger,243.4,593.9,247.5
HE-075,Heat Exchanger,213.5,623.6,249.5
HE-076,Heat Exchanger,214.5,628.3,251.5
HE-077,Heat Exchanger,251.8,619.8,253.5
HE-078,Heat Exchanger,219.1,637.7,255.6
HE-079,Heat Exchanger,220.5,639.0,257.6
HE-080,Heat Exchanger,224.5,657.3,259.6
HE-081,Heat Exchanger,206.8,657.3,261.6
HE-082,Heat Exchanger,242.3,664.2,263.6
HE-083,Heat Exchanger,222.1,659.9,265.7
HE-084,Heat Exchanger,289.3,674.2,267.7
HE-085,Heat Exchanger,221.5,663.1,269.7
HE-086,Heat Exchanger,256.1,677.6,271.7
HE-087,Heat Exchanger,235.2,685.4,273.7
HE-088,Heat Exchanger,285.8,691.3,275.8
HE-089,Heat Exchanger,241.4,679.2,277.8
HE-090,Heat Exchanger,201.8,695.1,279.8
HE-091,Heat Exchanger,265.4,700.9,281.8
HE-092,Heat Exchanger,235.3,702.0,283.8
HE-093,Heat Exchanger,234.3,700.7,285.9
HE-094,Heat Exchanger,261.2,725.7,287.9
HE-095,Heat Exchanger,237.6,717.3,289.9
HE-096,Heat Exchanger,245.0,743.9,291.9
HE-097,Heat Exchanger,285.2,730.0,293.9
HE-098,Heat Exchanger,217.5,748.4,296.0
HE-099,Heat Exchanger,260.2,750.5,298.0
HE-100,Heat Exchanger,274.2,755.4,300.0
