Equipment Name,Type,Flowrate,Pressure,Temperature
PUMP-001,Pump,210.4,394.1,154.1
PUMP-002,Pump,199.3,380.3,151.4
PUMP-003,Pump,207.5,418.3,150.4
PUMP-004,Pump,210.1,395.3,160.0
PUMP-005,Pump,200.6,401.9,153.7
PUMP-006,Pump,193.8,400.5,141.1
PUMP-007,Pump,194.1,394.1,155.5
PUMP-008,Pump,205.7,398.4,161.5
PUMP-009,Pump,203.9,406.3,150.3
PUMP-010,Pump,203.0,393.3,152.4
PUMP-011,Pump,193.0,378.0,143.4
PUMP-012,Pump,201.7,390.0,153.2
PUMP-013,Pump,191.5,408.1,155.8
PUMP-014,Pump,202.2,395.6,147.7
PUMP-015,Pump,201.5,397.9,152.5
PUMP-016,Pump,201.9,393.9,159.2
PUMP-017,Pump,199.3,386.6,151.6
PUMP-018,Pump,195.9,395.1,152.8
PUMP-019,Pump,204.3,394.3,145.9
PUMP-020,Pump,197.6,400.4,147.8
PUMP-021,Pump,203.1,407.1,155.6
PUMP-022,Pump,187.9,407.7,149.3
PUMP-023,Pump,202.8,394.9,159.2
PUMP-024,Pump,203.0,370.9,150.9
PUMP-025,Pump,199.5,408.8,142.9
PUMP-026,Pump,202.1,402.5,149.1
PUMP-027,Pump,206.5,382.5,151.1
PUMP-028,Pump,199.1,404.7,149.6
PUMP-029,Pump,194.4,385.9,152.6
PUMP-030,Pump,191.4,422.2,152.0
PUMP-031,Pump,205.2,399.6,147.8
PUMP-032,Pump,192.0,398.3,136.9
PUMP-033,Pump,201.4,398.0,149.0
PUMP-034,Pump,200.7,384.6,140.3
PUMP-035,Pump,194.5,415.3,146.3
PUMP-036,Pump,210.1,409.7,157.7
PUMP-037,Pump,200.8,388.2,153.7
PUMP-038,Pump,195.2,412.3,147.6
PUMP-039,Pump,198.3,409.4,149.8
PUMP-040,Pump,203.6,411.0,144.3
PUMP-041,Pump,197.6,392.7,157.9
PUMP-042,Pump,198.1,384.1,151.5
PUMP-043,Pump,204.7,400.9,148.1
PUMP-044,Pump,205.9,401.2,142.7
PUMP-045,Pump,205.2,405.3,149.1
PUMP-046,Pump,196.6,397.9,156.1
PUMP-047,Pump,205.4,395.7,147.0
PUMP-048,Pump,189.6,387.7,141.5
PUMP-049,Pump,210.1,50.0,147.9
PUMP-050,Pump,600.0,418.1,152.5
